"Ciliopathy","Abbreviation","OMIM Phenotype Number","Disease/Gene Reference","Human Gene ID","Human Gene Name","Gene MIM Number","Subcellular Localization","Localisation Reference","Synonym"
"Retinitis Pigmentosa","RP78","617433","28132693",23370,"ARHGEF18","616432","Basal Body","https://repositories.lib.utexas.edu/handle/2152/63460","ARHGEF18;ARHGEF18;ENSG00000104880; RP78; SA-RhoGEF; p114RhoGEF; P114-RhoGEF"
"Retinitis Pigmentosa","RP79","617460","25316723",3098,"HK1","142600","Mitochondria","25613900","HK1;HK1;ENSG00000156515; HK; HKD; HKI; HXK1; RP79; HMSNR; HK1-ta; HK1-tb; HK1-tc; NEDVIBA; hexokinase"
"Retinitis Pigmentosa","RP80","617781","26216056, 26968735",9742,"IFT140","614620","Transition Zone, Axoneme","23141541","IFT140;IFT140;ENSG00000187535; RP80; MZSDS; SRTD9; WDTC2; gs114; c305C8.4; c380F5.1"
"Retinitis Pigmentosa","RP81","617871","28973684",112752,"IFT43","614068","Basal Body","25243405","IFT43;IFT43;ENSG00000119650; CED3; RP81; SRTD18; C14orf179"
"Retinitis Pigmentosa","RP83","618173","26964041",403,"ARL3","604695","Cilia","30952667","ARL3;ARL3;ENSG00000138175; RP83; ARFL3; JBTS35"
"Retinitis Pigmentosa","RP84","618220","24737827",9785,"DHX38","605584","Nucleoplasm","25613900","DHX38;DHX38;ENSG00000140829; RP84; DDX38; PRP16; PRPF16"
"Retinitis Pigmentosa","RP85","618345","29726989",196,"AHR","600253","Nucleoplasm,Cytosol","25613900","AHR;AHR;ENSG00000106546; RP85; bHLHe76"
"Retinitis Pigmentosa","RP86","618613","30120214",57670,"KIAA1549","613344","Transition Zone","30120214","KIAA1549;KIAA1549;ENSG00000122778; RP86"
"Retinitis Pigmentosa","RP87","618697","21654732",6121,"RPE65","180069","Not reported",NA,"RPE65;RPE65;ENSG00000116745; p63; BCO3; LCA2; RP20; rd12; mRPE65; sRPE65"
"Retinitis Pigmentosa","RP88","618826","23281133, 31833436",94137,"RP1L1","608581","Axoneme, Transition Zone","19657028","RP1L1;RP1L1;ENSG00000183638; OCMD; RP88; DCDC4B"
"Retinitis Pigmentosa","RP89","618955","32386558",9371,"KIF3B","603754","Axoneme","10548469","KIF3B;KIF3B;ENSG00000101350; FLA8; RP89; HH0048; KLP-11"
"Retinitis Pigmentosa","RP90","619007","28412069, 31012789",3419,"IDH3A","601149","Mitochondria","25613900","IDH3A;IDH3A;ENSG00000166411; RP90"
"Retinitis Pigmentosa","RP91","153870","32817297",3617,"IMPG1","602870","Not reported",NA,"IMPG1;IMPG1;ENSG00000112706; RP91; VMD4; GP147; SPACR; IPM150"
"Retinitis Pigmentosa","RP","No MIM Number","32208788",80184,"CEP290","610142","Transition Zone",NA,"CEP290;CEP290;ENSG00000198707; CT87; MKS4; POC3; rd16; BBS14; JBTS5; LCA10; NPHP6; SLSN6; 3H11Ag"
"Retinitis Pigmentosa","RP","No MIM Number","33938610",51134,"CEP83","615847","Cilia","24882706","CEP83;CEP83;ENSG00000173588; CCDC41; NPHP18; NY-REN-58"
"Retinitis Pigmentosa","RP","No MIM Number","33910932",582,"BBS1","209901","Cilia","32759308","BBS1;BBS1;ENSG00000174483; BBS2L2"
"Retinitis Pigmentosa","RP","No MIM Number","35246562",29105,"CFAP20","617906","Cilia, Basal Body","20118210","CFAP20;CFAP20;ENSG00000070761; GTL3; BUG22; EVORF; fSAP23; C16orf80"
"RHYNS  Syndrome","RHYNS","602152","29891882",91147,"TMEM67","609884","Transition Zone","21725307","TMEM67;TMEM67;ENSG00000164953; MKS3; JBTS6; NPHP11; TNEM67; MECKELIN"
"Senior-Løken Syndrome","SLSN1","266900","9856524",4867,"NPHP1","607100","Transition Zone","21565611","NPHP1;NPHP1;ENSG00000144061; NPH1; JBTS4; SLSN1"
"Senior-Løken Syndrome","SLSN4","606996","11920287",261734,"NPHP4","607215","Transition Zone","21565611","NPHP4;NPHP4;ENSG00000131697; POC10; SLSN4"
"Senior-Løken Syndrome","SLSN5","609254","15723066, 21220633",9657,"IQCB1","609237","Transition Zone","15723066","IQCB1;IQCB1;ENSG00000173226; PIQ; NPHP5; SLSN5"
"Senior-Løken Syndrome","SLSN6","610189","16682973",80184,"CEP290","610142","Transition Zone","25859007","CEP290;CEP290;ENSG00000198707; CT87; MKS4; POC3; rd16; BBS14; JBTS5; LCA10; NPHP6; SLSN6; 3H11Ag"
"Senior-Løken Syndrome","SLSN7","613615","20835237",10806,"SDCCAG8","613524","Basal Body, Transition Zone","20835237","SDCCAG8;SDCCAG8;ENSG00000054282; BBS16; CCCAP; SLSN7; NPHP10; hCCCAP; HSPC085; NY-CO-8; CCCAP SLSN7"
"Senior-Løken Syndrome","SLSN8","616307","23683095",57728,"WDR19","608151","Axoneme","22019273","WDR19;WDR19;ENSG00000157796; ATD5; CED4; DYF-2; FAP66; ORF26; Oseg6; PWDMP; SRTD5; IFT144; NPHP13; SPGF72"
"Senior-Løken Syndrome","SLSN9","616629","26487268",26146,"TRAF3IP1","607380","Cilia, Transition Zone","19253336, 26487268","TRAF3IP1;TRAF3IP1;ENSG00000204104; IFT54; MIPT3; SLSN9; FAP116; MIP-T3"
"Senior-Løken Syndrome","SLSN","No MIM Number","22819833",27031,"NPHP3","608002","Cilia, Basal Body","20462968, 22328406","NPHP3;NPHP3;ENSG00000113971; MKS7; NPH3; RHPD; RHPD1; SLSN3; CFAP31"
"Short Stature, Onychodysplasia, Facial Dysmorphism, and Hypotrichosis","SOFT","614813","22840363",25886,"POC1A","614783","Not reported",NA,"POC1A;POC1A;ENSG00000164087; PIX2; SOFT; WDR51A"
"Short-rib Thoracic Dysplasia","SRTD2","611263","17468754",57560,"IFT80","611177","Cilia, Basal Body","15137945, 17468754","IFT80;IFT80;ENSG00000068885; ATD2; SRTD2; WDR56; FAP167"
"Short-rib Thoracic Dysplasia","SRTD3","613091","23456818",79659,"DYNC2H1","603297","Nucleoplasm,Mitochondria,Cytosol","25613900","DYNC2H1;DYNC2H1;ENSG00000187240; ATD3; DHC2; DHC1b; DNCH2; DYH1B; SRTD3; SRPS2B; hdhc11"
"Short-rib Thoracic Dysplasia","SRTD4","613819","25492405",79809,"TTC21B","612014","Cilia","24876116","TTC21B;TTC21B;ENSG00000123607; ATD4; THM1; FAP60; FLA17; SRTD4; IFT139; JBTS11; NPHP12; IFT139B; Nbla10696"
"Short-rib Thoracic Dysplasia","SRTD5","614376","19430947, 22019273",57728,"WDR19","608151","Axoneme","22019273","WDR19;WDR19;ENSG00000157796; ATD5; CED4; DYF-2; FAP66; ORF26; Oseg6; PWDMP; SRTD5; IFT144; NPHP13; SPGF72"
"Short-rib Thoracic Dysplasia","SRTD6","263520","25492405",4750,"NEK1","604588","Basal Body","18387364","NEK1;NEK1;ENSG00000137601; ALS24; SRPS2; SRTD6; SRPS2A; NY-REN-55"
"Short-rib Thoracic Dysplasia","SRTD7","614091","21473986",57539,"WDR35","613602","Transisiton Zone, Basal Body, Axoneme","15137945, 10.1016/j.mod.2009.06.702","WDR35;WDR35;ENSG00000118965; CED2; IFTA1; SRTD7; FAP118; IFT121"
"Short-rib Thoracic Dysplasia","SRTD8","615503","23910462, 25492405",55112,"DYNC2I1","615462","Cilia","23910462","DYNC2I1;DYNC2I1;ENSG00000126870; DIC6; SRPS6; SRTD8; WDR60; FAP163; CFAP163"
"Short-rib Thoracic Dysplasia","SRTD9","266920","23418020",9742,"IFT140","614620","Transition Zone, Axoneme","23141541","IFT140;IFT140;ENSG00000187535; RP80; MZSDS; SRTD9; WDTC2; gs114; c305C8.4; c380F5.1"
"Short-rib Thoracic Dysplasia","SRTD10","615630","24140113",26160,"IFT172","607386","Cilia, Axoneme","15137945, 24140113","IFT172;IFT172;ENSG00000138002; SLB; wim; RP71; BBS20; osm-1; NPHP17; SRTD10"
"Short-rib Thoracic Dysplasia","SRTD11","615633","24183451",89891,"DYNC2I2","613363","Cilia","25205765","DYNC2I2;DYNC2I2;ENSG00000119333; DIC5; WDR34; FAP133; SRTD11; CFAP133; bA216B9.3"
"Short-rib Thoracic Dysplasia","SRTD13","616300","25361962",153241,"CEP120","613446","Basal Body","20956381","CEP120;CEP120;ENSG00000168944; JBTS31; SRTD13; CCDC100"
"Short-rib Thoracic Dysplasia","SRTD14","616546","26166481",9786,"KIAA0586","610178","Basal Body","26386247","KIAA0586;KIAA0586;ENSG00000100578; JBTS23; SRTD14; Talpid3"
"Short-rib Thoracic Dysplasia","SRTD15","617088","26077881",51626,"DYNC2LI1","617083","Basal Body, Transition Zone","26130459","DYNC2LI1;DYNC2LI1;ENSG00000138036; LIC3; D2LIC; CGI-60"
"Short-rib Thoracic Dysplasia","SRTD16","617102","26880018, 27466190",51098,"IFT52","617094","Basal Body","11676918","IFT52;IFT52;ENSG00000101052; NGD2; NGD5; CGI-53; C20orf9"
"Short-rib Thoracic Dysplasia","SRTD17","617405","26044572",255758,"DYNLT2B","617353","Cilia","25205765","DYNLT2B;DYNLT2B;ENSG00000213123; SRTD17; TCTEX1D2"
"Short-rib Thoracic Dysplasia","SRTD18","617866","28400947",112752,"IFT43","614068","Basal Body","25243405","IFT43;IFT43;ENSG00000119650; CED3; RP81; SRTD18; C14orf179"
"Short-rib Thoracic Dysplasia","SRTD19","617895","27666822",28981,"IFT81","605489","Cilia","15955805, 26275418","IFT81;IFT81;ENSG00000122970; DV1; CDV1; CDV-1; CDV1R; CDV-1R; SRTD19"
"Short-rib Thoracic Dysplasia","SRTD20","617925","27158779",27152,"INTU","610621","Basal Body","31564489","INTU;INTU;ENSG00000164066; INT; OFD17; PDZD6; PDZK6; SRTD20; CPLANE4"
"Short-rib Thoracic Dysplasia","SRTD21","619479","29138412, 31816441",9851,"KIAA0753","617112","Centrosome,Cytosol","25613900","KIAA0753;KIAA0753;ENSG00000198920; MNR; OFIP; JBTS38; SRTD21"
"Short-rib Thoracic Dysplasia","SRTD","No MIM Number","33200460",156,"GRK2","109635","Cytosol","25613900","GRK2;GRK2;ENSG00000173020; BARK1; ADRBK1; BETA-ARK1"
"Smith-Lemli-Opitz Syndrome","SLOS","270400","33284321",1717,"DHCR7","602858","Basal Body","33284321","DHCR7;DHCR7;ENSG00000172893; SLOS"
"Simpson-Golabi-Behmel Syndrome","SGBS1","312870","9950367",2719,"GPC3","300037","Plasma membrane","25613900","GPC3;GPC3;ENSG00000147257; SGB; DGSX; MXR7; SDYS; SGBS; OCI-5; SGBS1; GTR2-2"
"Simpson-Golabi-Behmel Syndrome","SGBS2","300209","16783569",8481,"OFD1","300170","Basal Body, Transition Zone","15466260, 26068394","OFD1;OFD1;ENSG00000046651; RP23; 71-7A; SGBS2; CXorf5; JBTS10"
"Spinocerebellar Ataxia","SCA1","164400","17190598",6310,"ATXN1","601556","Nucleoplasm,Nucleoli,Cytosol","25613900","ATXN1;ATXN1;ENSG00000124788; ATX1; SCA1; D6S504E"
"Spinocerebellar Ataxia","SCA2","183090","8896555",6311,"ATXN2","601517","Cytosol","25613900","ATXN2;ATXN2;ENSG00000204842; ATX2; SCA2; TNRC13"
"Spinocerebellar Ataxia","SCA5","600224","16429157",6712,"SPTBN2","604985","Vesicles,Plasma membrane,Cytosol","25613900","SPTBN2;SPTBN2;ENSG00000173898; SCA5; SCAR14; GTRAP41"
"Spinocerebellar Ataxia","SCA6","183086","19817876",773,"CACNA1A","601011","Endoplasmic reticulum","25613900","CACNA1A;CACNA1A;ENSG00000141837; BI; EA2; FHM; MHP; APCA; HPCA; MHP1; SCA6; DEE42; CAV2.1; EIEE42; CACNL1A4"
"Spinocerebellar Ataxia","SCA7","164500","11030806",6314,"ATXN7","607640","Cilia","31432449","ATXN7;ATXN7;ENSG00000163635; SCA7; OPCA3; SGF73; ADCAII"
"Spinocerebellar Ataxia","SCA8","608768","18418692",724066,"ATXN8","613289","Not reported",NA,NA
"Spinocerebellar Ataxia","SCA10","603516","11017075",25814,"ATXN10","611150","Cilia","10.1101/2021.04.29.441883","ATXN10;ATXN10;ENSG00000130638; E46L; ATX10; SCA10; HUMEEP"
"Spinocerebellar Ataxia","SCA11","604432","18037885",146057,"TTBK2","611695","Transition Zone","23141541","TTBK2;TTBK2;ENSG00000128881; TTBK; SCA11"
"Spinocerebellar Ataxia","SCA12","604326","10581021",5521,"PPP2R2B","604325","Cytosol","25613900","PPP2R2B;PPP2R2B;ENSG00000156475; PR52B; SCA12; B55BETA; PR55BETA; PP2ABBETA; PP2APR55B; PR2ABBETA; PR55-BETA; PP2AB55BETA; PR2AB55BETA; PP2APR55BETA; PR2APR55BETA"
"Spinocerebellar Ataxia","SCA13","605259","16501573",3748,"KCNC3","176264","Cilia","33688626","KCNC3;KCNC3;ENSG00000131398; KV3.3; SCA13; KSHIIID"
"Spinocerebellar Ataxia","SCA14","605361","14676051, 12644968",5582,"PRKCG","5582","Not reported",NA,"PRKCG;PRKCG;ENSG00000126583; PKCC; PKCG; SCA14; PKCI(3); PKCgamma; PKC-gamma"
"Spinocerebellar Ataxia","SCA15","606658","17590087",3708,"ITPR1","147265","Vesicles","25613900","ITPR1;ITPR1;ENSG00000150995; ACV; CLA4; IP3R; IP3R1; SCA15; SCA16; SCA29; INSP3R1; PPP1R94"
"Spinocerebellar Ataxia","SCA17","607136","19917997",6908,"TBP","600075","Nucleoplasm","25613900","TBP;TBP;ENSG00000112592; HDL4; TBP1; GTF2D; SCA17; TFIID; GTF2D1"
"Spinocerebellar Ataxia","SCA19","607346","23280838",3752,"KCND3","605411","Not reported",NA,"KCND3;KCND3;ENSG00000171385; KV4.3; SCA19; SCA22; BRGDA9; KCND3L; KCND3S; KSHIVB"
"Spinocerebellar Ataxia","SCA21","607454","25070513",339453,"TMEM240","616101","Not reported",NA,"TMEM240;TMEM240;ENSG00000205090; SCA21; C1orf70"
"Spinocerebellar Ataxia","SCA23","610245","21035104",5173,"PDYN","131340","Not reported",NA,"PDYN;PDYN;ENSG00000101327; ADCA; PENKB; SCA23"
"Spinocerebellar Ataxia","SCA26","609306","23001565",1938,"eEF2","130610","Plasma membrane,Cytosol","25613900","EEF2;eEF2;ENSG00000167658; EF2; EF-2; EEF-2; SCA26"
"Spinocerebellar Ataxia","SCA27","609307","30017992",2259,"FGF14","601515","Nucleoli fibrillar center","25613900","FGF14;FGF14;ENSG00000102466; FHF4; FHF-4; SCA27; FGF-14"
"Spinocerebellar Ataxia","SCA28","610246","16251216, 20208537",10939,"AFG3L2","604581","Mitochondria","25613900","AFG3L2;AFG3L2;ENSG00000141385; OPA12; SCA28; SPAX5"
"Spinocerebellar Ataxia","SCA29","117360","22986007",3708,"ITPR1","147265","Vesicles","25613900","ITPR1;ITPR1;ENSG00000150995; ACV; CLA4; IP3R; IP3R1; SCA15; SCA16; SCA29; INSP3R1; PPP1R94"
"Spinocerebellar Ataxia","SCA31","117210","19878914",146227,"BEAN1","612051","Nucleoplasm,Centrosome","25613900","BEAN1;BEAN1;ENSG00000166546; BEAN; SCA31"
"Spinocerebellar Ataxia","SCA34","133190","26010696",6785,"ELOVL4","605512","Not reported",NA,"ELOVL4;ELOVL4;ENSG00000118402; ADMD; CT118; ISQMR; SCA34; STGD2; STGD3"
"Spinocerebellar Ataxia","SCA35","613908","21106500, 22554020",343641,"TGM6","613900","Not reported",NA,"TGM6;TGM6;ENSG00000166948; TG6; TGY; SCA35; TGM3L; dJ734P14.3"
"Spinocerebellar Ataxia","SCA36","614153","21683323",10528,"NOP56","614154","Nucleoli fibrillar center","25613900","NOP56;NOP56;ENSG00000101361; NOL5A; SCA36"
"Spinocerebellar Ataxia","SCA37","615945","28686858",1600,"DAB1","603448","Vesicles","25613900","DAB1;DAB1;ENSG00000173406; SCA37"
"Spinocerebellar Ataxia","SCA38","615957","25065913",60481,"ELOVL5","611805","Endoplasmic reticulum","25613900","ELOVL5;ELOVL5;ENSG00000012660; HELO1; SCA38; dJ483K16.1"
"Spinocerebellar Ataxia","SCA40","616053","25062847",440193,"CCDC88C","611204","Nucleoplasm,Nucleoli fibrillar center","25613900","CCDC88C;CCDC88C;ENSG00000015133; HYC1; DAPLE; HKRP2; SCA40; KIAA1509"
"Spinocerebellar Ataxia","SCA41","616410","25477146",7222,"TRPC3","602345","Not reported",NA,"TRPC3;TRPC3;ENSG00000138741; TRP3; SCA41"
"Spinocerebellar Ataxia","SCA42","616795","26456284, 26715324",8913,"CACNA1G","604065","Not reported",NA,"CACNA1G;CACNA1G;ENSG00000006283; NBR13; SCA42; Cav3.1; SCA42ND; Ca(V)T.1"
"Spinocerebellar Ataxia","SCA43","617018","27583304",4311,"MME","120520","Not reported",NA,"MME;MME;ENSG00000196549; NEP; SFE; CD10; CALLA; CMT2T; SCA43"
"Spinocerebellar Ataxia","SCA44","617691","29100096",2911,"GRM1","604473","Vesicles","25613900","GRM1;GRM1;ENSG00000152822; MGLU1; SCA44; GPRC1A; MGLUR1; SCAR13; PPP1R85"
"Spinocerebellar Ataxia","SCA45","617769","29053796",2196,"FAT2","604269","Not reported",NA,"FAT2;FAT2;ENSG00000086570; CDHF8; CDHR9; HFAT2; MEGF1; SCA45"
"Spinocerebellar Ataxia","SCA46","617770","29053796",23646,"PLD3","615698","Nucleoplasm,Endoplasmic reticulum,Cytosol","25613900","PLD3;PLD3;ENSG00000105223; AD19; HUK4; HU-K4; SCA46"
"Spinocerebellar Ataxia","SCA47","617931","29474920",9698,"PUM1","607204","Nucleoplasm,Cytosol","25613900","PUM1;PUM1;ENSG00000134644; PUMH; HSPUM; PUMH1; PUML1; SCA47"
"Spinocerebellar Ataxia","SCA48","618093","30381368",10273,"STUB1","607207","Nucleoplasm,Cytosol","25613900","STUB1;STUB1;ENSG00000103266; CHIP; SCA48; UBOX1; SCAR16; HSPABP2; NY-CO-7; SDCCAG7"
"Spinocerebellar Ataxia","SCAN1","607250","12244316",55775,"TDP1","607198","Nucleoplasm,Plasma membrane","25613900",NA
"Spinocerebellar Ataxia","SCAN2","606002","14770181",23064,"Setx","608465","Nucleoplasm,Cytokinetic bridge","25613900","SETX;Setx;ENSG00000107290; ALS4; AOA2; STEX; Sen1; SCAN2; SCAR1; bA479K20.2"
"Spinocerebellar Ataxia","SCAN3","618387","29718187",65260,"COA7","615623","Nucleoplasm,Mitochondria","25613900","COA7;COA7;ENSG00000162377; RESA1; SCAN3; SELRC1; C1orf163"
"Spondylometaphyseal Dysplasia","SMDAX","602271","26974433",755,"CFAP410","603191","Basal Body","26167768","CFAP410;CFAP410;ENSG00000160226; RDMS; SMDAX; LRRC76; YF5/A2; C21orf2"
"Spondylometaphyseal Dysplasia","SMDCF","184255","4419008",2335,"FN1","135600","Not reported",NA,"FN1;FN1;ENSG00000115414; FN; CIG; FNZ; MSF; ED-B; FINC; GFND; LETS; GFND2; SMDCF"
"Spondylometaphyseal Dysplasia","SMDK","184252","19232556",59341,"TRPV4","605427","Cilia","18024594, 28122715","TRPV4;TRPV4;ENSG00000111199; SMAL; VRL2; BCYM3; CMT2C; SPSMA; TRP12; VROAC; HMSN2C; OTRPC4; SSQTL1"
"Spondylometaphyseal Dysplasia","SMDMDM","613320","24786642",51025,"PAM16","614336","Nucleoplasm,Microtubules,Mitochondria","25613900","PAM16;PAM16;ENSG00000217930; TIM16; MAGMAS; SMDMDM; TIMM16; CGI-136"
"Spondylometaphyseal Dysplasia","SMDP","619638","34782440",5593,"PRKG2","601591","Not reported",NA,"PRKG2;PRKG2;ENSG00000138669; AMD4; PKG2; SMDP; cGK2; cGKII; PRKGR2"
"Spondylometaphyseal Dysplasia","SMDS","250220","9556300, 24706940",2879,"GPX4","138322","Nucleoplasm,Mitochondria","25613900","GPX4;GPX4;ENSG00000167468; MCSP; SMDS; GPx-4; PHGPx; snGPx; GSHPx-4; snPHGPx"
"Spondylometaphyseal Dysplasia","SPENCDI","607944","26854080, 21217752",54,"ACP5","171640","Cytosol","25613900","ACP5;ACP5;ENSG00000102575; HPAP; TRAP; TRAcP; TRACP5a; TRACP5b; TrATPase"
"STAR Syndrome","STAR","300707","28225384",92002,"CCNQ","300708","Nucleoplasm,Cytosol","25613900","CCNQ;CCNQ;ENSG00000262919; CycM; FAM58A"
"Stromme Syndrome","STROMS","243605","26820108",1063,"CENPF","600236","Axoneme, Basal Body","25564561","CENPF;CENPF;ENSG00000117724; CENF; hcp-1; CILD31; STROMS; PRO1779"
"Townes-Brocks Syndrome","TBS1","107480","29395072",6299,"SALL1","602218","Nucleoplasm,Nucleoli,Nuclear speckles,Cytosol","25613900","SALL1;SALL1;ENSG00000103449; TBS; HSAL1; Sal-1; ZNF794; HEL-S-89"
"Townes-Brocks Syndrome","TBS","No MIM ID","32553112",7798,"LUZP1","601422","Basal Body","32553112","LUZP1;LUZP1;ENSG00000169641; LUZP"
"Usher Syndrome","USH1B","276900","7870171",4647,"MYO7A","276903","Cilia, Transition Zone","9182663, 9227854","MYO7A;MYO7A;ENSG00000137474; DFNB2; MYU7A; NSRD2; USH1B; DFNA11; MYOVIIA"
"Usher Syndrome","USH1C","276904","10973247",10083,"USH1C","605242","Cytosol","25613900","USH1C;USH1C;ENSG00000006611; PDZ73; AIE-75; DFNB18; PDZ-45; PDZ-73; PDZD7C; DFNB18A; NY-CO-37; NY-CO-38; ush1cpst; PDZ-73/NY-CO-38"
"Usher Syndrome","USH1D","601067","21940737",64072,"CDH23","605516","Basal Body","19756182","CDH23;CDH23;ENSG00000107736; PITA5; USH1D; CDHR23"
"Usher Syndrome","USH1F","602083","11398101",65217,"PCDH15","605514","Cilia","21156003","PCDH15;PCDH15;ENSG00000150275; USH1F; CDHR15; DFNB23"
"Usher Syndrome","USH1G","606943","12588794",124590,"USH1G","607696","Cilia, Transition Zone","28137943, 31637240","USH1G;USH1G;ENSG00000182040; SANS; ANKS4A"
"Usher Syndrome","USH1J","614869","23023331",10518,"CIB2","605564","Cilia","26173970","CIB2;CIB2;ENSG00000136425; KIP2; USH1J; DFNB48"
"Usher Syndrome","USH2A","276901","9624053, 10729113",7399,"USH2A","608400","Basal Body","17906286","USH2A;USH2A;ENSG00000042781; US2; RP39; USH2; dJ1111A8.1"
"Usher Syndrome","USH2C","605472","14740321",84059,"ADGRV1","602851","Transition Zone","16434480","ADGRV1;ADGRV1;ENSG00000164199; FEB4; GPR98; MASS1; USH2B; USH2C; VLGR1; VLGR1b"
"Usher Syndrome","USH2C","605472","20440071",79955,"PDZD7","612971","Cilia","20440071","PDZD7;PDZD7;ENSG00000186862; PDZK7; DFNB57"
"Usher Syndrome","USH2D","611383","17171570",25861,"WHRN","607928","Cilia","12833159","WHRN;WHRN;ENSG00000095397; WI; CIP98; USH2D; DFNB31; PDZD7B"
"Usher Syndrome","USH3A","276902","15521980",7401,"CLRN1","606397","Cilia","19539019","CLRN1;CLRN1;ENSG00000163646; RP61; USH3; USH3A"
"Usher Syndrome","USH3B","614504","22279524",3035,"HARS1","142810","Cytosol","25613900","HARS1;HARS1;ENSG00000170445; HRS; HARS; CMT2W; USH3B"
"Usher Syndrome","USH4","618144","29300381, 32455177",22901,"ARSG","610008","Not reported",NA,"ARSG;ARSG;ENSG00000141337; USH4"
"Visceral Heterotaxy","HTX1","306955","9354794",7547,"ZIC3","300265","Nucleoplasm","25613900","ZIC3;ZIC3;ENSG00000156925; HTX; HTX1; ZNF203; VACTERLX"
"Visceral Heterotaxy","HTX2","605376","11062482",55997,"CFC1","605194","Not reported",NA,"CFC1;CFC1;ENSG00000136698; HTX2; CFC1B; DTGA2; CRYPTIC"
"Visceral Heterotaxy","HTX3","606325","12607115",27244,"SESN1","606103","Nucleoplasm,Nucleoli fibrillar center","25613900","SESN1;SESN1;ENSG00000080546; PA26; SEST1"
"Visceral Heterotaxy","HTX4","613751","9916847",93,"ACVR2B","602730","Not reported",NA,"ACVR2B;ACVR2B;ENSG00000114739; HTX4; ACTRIIB; ActR-IIB"
"Visceral Heterotaxy","HTX5","270100","19064609",4838,"NODAL","601265","Not reported",NA,"NODAL;NODAL;ENSG00000156574; HTX5"
"Visceral Heterotaxy","HTX6","614779","22577226, 25504577",220136,"CFAP53","614759","Cilia, Axoneme","33347437","CFAP53;CFAP53;ENSG00000172361; HTX6; CCDC11"
"Visceral Heterotaxy","HTX7","616749","26437028, 26429889",118856,"MMP21","608416","Not reported",NA,"MMP21;MMP21;ENSG00000154485; HTX7; MMP-21"
"Visceral Heterotaxy","HTX8","617205","27616478",168507,"PKD1L1","609721","Cilia","21307093","PKD1L1;PKD1L1;ENSG00000158683; HTX8; PRO19563"
"Visceral Heterotaxy","HTX9","618948","30148830",55329,"MNS1","610766","Axoneme","30148830","MNS1;MNS1;ENSG00000138587; HTX9; SPATA40"
"Visceral Heterotaxy","HTX10","619607","33139725",146845,"CFAP52","609804","Basal Body","32859975","CFAP52;CFAP52;ENSG00000166596; HTX10; WDR16; WDRPUH"
"Visceral Heterotaxy","HTX11","619608","33139725",25790,"CFAP45","605152","Cilia","33139725","CFAP45;CFAP45;ENSG00000213085; HTX11; NESG1; CCDC19"
"Visceral Heterotaxy","HTX","No MIM Number","33547761",79809,"TTC21B","612014","Cilia","24876116","TTC21B;TTC21B;ENSG00000123607; ATD4; THM1; FAP60; FLA17; SRTD4; IFT139; JBTS11; NPHP12; IFT139B; Nbla10696"
"Visceral Heterotaxy","HTX","No MIM Number","33196317",54862,"CC2D1A","610055","Nucleoli fibrillar center,Plasma membrane,Cytosol","25613900","CC2D1A;CC2D1A;ENSG00000132024; Lgd2; MRT3; TAPE; Aki-1; FREUD-1; Freud-1/Aki1"
"Weyers Acrofacial Dysostosis","WAD","193530","10700184, 23220543",2121,"EVC","604831","Cilia, Basal Body","21356043","EVC;EVC;ENSG00000072840; EVC1; EVCL; DWF-1"
"Weyers Acrofacial Dysostosis","WAD","193530","16404586, 23220543",132884,"EVC2","607261","Cilia, Basal Body","21356043","EVC2;EVC2;ENSG00000173040; LBN; WAD"
